statistic	source	condition	score	p_value
norm_wmean	ETS2	t2_t1	-3.7396521736623276	0.02
norm_wmean	ETS2	t3_t2	-1.9442923442009818	0.08
norm_wmean	ETS2	t4_t3	-0.8942814143377176	0.56
norm_wmean	ETS2	t8_t4	0.01601838531741921	0.30000000000000004
norm_wmean	ETV1	t0.5_t0	3.192441395204986	0.06
norm_wmean	ETV1	t1_t0.5	-0.6983801689464022	0.54
norm_wmean	ETV1	t2_t1	-3.489028198345084	0.02
norm_wmean	ETV1	t3_t2	-2.7588800233138966	0.04
norm_wmean	ETV1	t4_t3	1.3560376354867159	0.44
norm_wmean	ETV1	t8_t4	0.8570767379972976	0.54
norm_wmean	ETV4	t0.5_t0	4.221584326851246	0.02
norm_wmean	ETV4	t1_t0.5	-0.5674099921698664	0.76
norm_wmean	ETV4	t2_t1	-0.3258973577505022	0.82
norm_wmean	ETV4	t3_t2	0.2006921784311206	0.3600000000000001
norm_wmean	ETV4	t4_t3	-1.7369962163083266	0.18
norm_wmean	ETV4	t8_t4	-2.3742025808711	0.16
norm_wmean	ETV6	t0.5_t0	0.8024377337338342	0.54
norm_wmean	ETV6	t1_t0.5	1.011128065899861	0.68
norm_wmean	ETV6	t2_t1	1.7077712646750258	0.5
norm_wmean	ETV6	t3_t2	-3.7465658826276753	0.02
norm_wmean	ETV6	t4_t3	-1.5992887076554676	0.2
norm_wmean	ETV6	t8_t4	0.3215361638081788	0.8600000000000001
norm_wmean	FLI1	t0.5_t0	2.4004230676147102	0.6399999999999999
norm_wmean	FLI1	t1_t0.5	-2.0082487887724825	0.08
norm_wmean	FLI1	t2_t1	5.431323075472502	0.02
norm_wmean	FLI1	t3_t2	0.3807539281145051	0.6799999999999999
norm_wmean	FLI1	t4_t3	-0.8059456635134095	0.74
norm_wmean	FLI1	t8_t4	-4.286397899801573	0.02
norm_wmean	FOS	t0.5_t0	6.501229935845432	0.21999999999999997
norm_wmean	FOS	t1_t0.5	0.41557433936195526	0.54
norm_wmean	FOS	t2_t1	2.7079187289393727	0.040000000000000036
norm_wmean	FOS	t3_t2	-1.6514383259149321	0.08
norm_wmean	FOS	t4_t3	-3.421300887113617	0.02
norm_wmean	FOS	t8_t4	-6.830584125405969	0.04
norm_wmean	FOSL1	t0.5_t0	3.916664360963208	0.02
norm_wmean	FOSL1	t1_t0.5	1.87996683132429	0.18
norm_wmean	FOSL1	t2_t1	0.48380437726998576	0.26
norm_wmean	FOSL1	t3_t2	-2.345609355310463	0.04
norm_wmean	FOSL1	t4_t3	-1.4340100989788565	0.28
norm_wmean	FOSL1	t8_t4	-2.1666683605834907	0.28
norm_wmean	FOSL2	t0.5_t0	11.126151441682996	0.02
norm_wmean	FOSL2	t1_t0.5	3.035320036752592	0.02
norm_wmean	FOSL2	t2_t1	-2.407999061827185	0.02
norm_wmean	FOSL2	t3_t2	-3.4286037658338206	0.02
norm_wmean	FOSL2	t4_t3	-1.1811318976912053	0.36
norm_wmean	FOSL2	t8_t4	-4.5116630139498914	0.02
norm_wmean	FOXA1	t0.5_t0	-0.40805800018465904	0.78
norm_wmean	FOXA1	t1_t0.5	-2.464943340030204	0.02
norm_wmean	FOXA1	t2_t1	0.31389680096327255	0.78
norm_wmean	FOXA1	t3_t2	-2.9992963159563364	0.02
norm_wmean	FOXA1	t4_t3	-3.7048312035016524	0.02
norm_wmean	FOXA1	t8_t4	-1.4876132895058225	0.1399999999999999
norm_wmean	FOXA2	t0.5_t0	1.3421789927745655	0.19999999999999996
norm_wmean	FOXA2	t1_t0.5	-0.09877898945308625	0.56
norm_wmean	FOXA2	t2_t1	1.443633611371213	0.8400000000000001
norm_wmean	FOXA2	t3_t2	0.8701681915405677	1
norm_wmean	FOXA2	t4_t3	-3.578281312333007	0.02
norm_wmean	FOXA2	t8_t4	-2.4429311346717677	0.42
norm_wmean	FOXK2	t0.5_t0	0.8802499842023059	0.28
norm_wmean	FOXK2	t1_t0.5	-2.333061992344268	0.06
norm_wmean	FOXK2	t2_t1	0.08343479537472186	0.9199999999999999
norm_wmean	FOXK2	t3_t2	-1.6254978904047073	0.28
norm_wmean	FOXK2	t4_t3	-2.5799883787292304	0.02
norm_wmean	FOXK2	t8_t4	0.037633057431076304	0.94
norm_wmean	FOXL2	t0.5_t0	5.0572721801311085	0.02
norm_wmean	FOXL2	t1_t0.5	-3.2688225195422738	0.02
norm_wmean	FOXL2	t2_t1	-2.81114228536206	0.02
norm_wmean	FOXL2	t3_t2	-0.05124289733599839	0.3400000000000001
norm_wmean	FOXL2	t4_t3	-0.7005957954915638	0.72
norm_wmean	FOXL2	t8_t4	-0.0652754841641694	0.41999999999999993
norm_wmean	FOXM1	t0.5_t0	1.369496502558703	0.3400000000000001
norm_wmean	FOXM1	t1_t0.5	-1.4265115878942731	0.2
norm_wmean	FOXM1	t2_t1	-0.849935435137876	0.44
norm_wmean	FOXM1	t3_t2	0.29529385391071294	0.1200000000000001
norm_wmean	FOXM1	t4_t3	-0.3944598168581676	0.94
norm_wmean	FOXM1	t8_t4	1.0281893151460262	0.34
norm_wmean	FOXO1	t0.5_t0	0.9361281776485286	0.15999999999999992
norm_wmean	FOXO1	t1_t0.5	0.7991083557071313	0.92
norm_wmean	FOXO1	t2_t1	0.4654137530212	0.41999999999999993
norm_wmean	FOXO1	t3_t2	0.21385963944512493	0.19999999999999996
norm_wmean	FOXO1	t4_t3	-2.2030535434490863	0.04
norm_wmean	FOXO1	t8_t4	0.6651761021663571	0.72
norm_wmean	FOXO3	t0.5_t0	4.002959175285787	0.02
norm_wmean	FOXO3	t1_t0.5	-7.578481437389677	0.02
norm_wmean	FOXO3	t2_t1	-6.007084187992481	0.02
norm_wmean	FOXO3	t3_t2	-3.4719759698500625	0.02
norm_wmean	FOXO3	t4_t3	-2.8746677737808746	0.02
norm_wmean	FOXO3	t8_t4	1.8450388911274747	0.06
norm_wmean	FOXO4	t0.5_t0	9.268106326451779	0.02
norm_wmean	FOXO4	t1_t0.5	-2.528435028196074	0.02
norm_wmean	FOXO4	t2_t1	-5.121905912811157	0.02
norm_wmean	FOXO4	t3_t2	0.15737424869884092	0.1200000000000001
norm_wmean	FOXO4	t4_t3	0.9752729433047534	0.66
norm_wmean	FOXO4	t8_t4	0.8074554009983392	0.64
norm_wmean	GABPA	t0.5_t0	-0.09903800395056922	1
norm_wmean	GABPA	t1_t0.5	-0.08832707051374235	0.6599999999999999
norm_wmean	GABPA	t2_t1	0.5481363922899315	0.3999999999999999
norm_wmean	GABPA	t3_t2	-2.1748181698250835	0.08
norm_wmean	GABPA	t4_t3	-1.345873220559758	0.18
norm_wmean	GABPA	t8_t4	1.1892648149395084	0.24
norm_wmean	GATA1	t0.5_t0	0.4483804922096627	0.41999999999999993
norm_wmean	GATA1	t1_t0.5	0.36740780903276354	0.3799999999999999
norm_wmean	GATA1	t2_t1	0.24512728185609894	0.76
norm_wmean	GATA1	t3_t2	-2.9253104865812736	0.02
norm_wmean	GATA1	t4_t3	-3.4421235069011837	0.02
norm_wmean	GATA1	t8_t4	1.7387283235863074	0.08
norm_wmean	GATA2	t0.5_t0	0.8221147509663548	0.3799999999999999
norm_wmean	GATA2	t1_t0.5	-2.2297406675354536	0.04
norm_wmean	GATA2	t2_t1	2.68150311677244	0.020000000000000018
norm_wmean	GATA2	t3_t2	-3.3456404005836204	0.02
norm_wmean	GATA2	t4_t3	-3.722179927270847	0.02
norm_wmean	GATA2	t8_t4	-1.4581053372555663	0.17999999999999994
norm_wmean	GATA3	t0.5_t0	1.5938735298203697	0.10000000000000009
norm_wmean	GATA3	t1_t0.5	-1.6599616345007926	0.12
norm_wmean	GATA3	t2_t1	1.9265755416370098	0.06000000000000005
norm_wmean	GATA3	t3_t2	-3.9882226153571474	0.02
norm_wmean	GATA3	t4_t3	-3.4968042635877112	0.02
norm_wmean	GATA3	t8_t4	-3.433779026577341	0.41999999999999993
norm_wmean	GATA4	t0.5_t0	-0.16687223051721523	0.9199999999999999
norm_wmean	GATA4	t1_t0.5	1.2138637053464607	0.28
norm_wmean	GATA4	t2_t1	-0.9255129502343911	0.48
norm_wmean	GATA4	t3_t2	-0.6482523089524193	0.82
norm_wmean	GATA4	t4_t3	-0.01268318562492573	0.26
norm_wmean	GATA4	t8_t4	-0.1788851030728204	0.08000000000000007
norm_wmean	GATA6	t0.5_t0	1.8344415443791562	0.56
norm_wmean	GATA6	t1_t0.5	-1.080826631238406	0.36
norm_wmean	GATA6	t2_t1	0.6329324699010609	0.26
norm_wmean	GATA6	t3_t2	-1.3555063974587858	0.2
norm_wmean	GATA6	t4_t3	-1.3601753019123815	0.24
norm_wmean	GATA6	t8_t4	-2.7853076677372015	0.1
norm_wmean	GFI1B	t0.5_t0	0.8445348143720472	0.6000000000000001
norm_wmean	GFI1B	t1_t0.5	0.7317867230535279	0.98
norm_wmean	GFI1B	t2_t1	2.1465393203481598	0.34
norm_wmean	GFI1B	t3_t2	-2.2335380251008354	0.08
norm_wmean	GFI1B	t4_t3	-0.7194128477289616	0.74
norm_wmean	GFI1B	t8_t4	-0.17826202343970451	0.52
norm_wmean	GLI1	t0.5_t0	-1.4588140263206184	0.24
norm_wmean	GLI1	t1_t0.5	1.3718247614712336	0.46
norm_wmean	GLI1	t2_t1	7.8399569083435185	0.02
norm_wmean	GLI1	t3_t2	1.0035137611608587	0.36
