condition	type	feature	score
t3_t2	measurement	MYCN	1.8863055571872551
t2_t1	measurement	KLF1	1.8835723213294238
t1_t0.5	measurement	FOSL1	1.87996683132429
t3_t2	measurement	POU2F2	-1.8774585957914645
t1_t0.5	measurement	STAT5B	1.8709254778940765
t0.5_t0	measurement	CTCF	1.869656315751216
t4_t3	measurement	NFATC1	-1.8689832894488791
t0.5_t0	measurement	ONECUT1	-1.8634065401955617
t1_t0.5	measurement	RELB	-1.8510557680530968
t0.5_t0	measurement	NFYB	1.8483526914013233
t4_t3	measurement	ONECUT1	-1.8477510768223735
t0.5_t0	measurement	RUNX2	1.8474550785087374
t8_t4	measurement	HIF1A	-1.847203472871644
t8_t4	measurement	FOXO3	1.8450388911274747
t1_t0.5	measurement	RFX5	-1.8449170595944318
t0.5_t0	measurement	GATA6	1.8344415443791562
t0.5_t0	measurement	IRF2	1.8298256755373354
t0.5_t0	measurement	TEAD1	1.8282912939642684
t8_t4	measurement	SP2	1.8220922297721065
t1_t0.5	measurement	TP63	-1.8218954310696953
t1_t0.5	measurement	NCOA3	-1.8138582801777674
t3_t2	measurement	MYBL2	1.8098013177050396
t3_t2	measurement	SRF	-1.80740145602509
t4_t3	measurement	RARA	1.8068941088809223
t4_t3	measurement	KLF1	1.8026934703549347
t4_t3	measurement	NR1H2	-1.790144489706852
t2_t1	measurement	TCF7	1.7894298029041436
t8_t4	measurement	HNF1B	-1.7881563603729222
t0.5_t0	measurement	KLF13	1.784847896616136
t8_t4	measurement	POU2F1	-1.78241958064677
t8_t4	measurement	SMAD5	1.7803775779852482
t0.5_t0	measurement	LYL1	1.778667474155219
t4_t3	measurement	TCF7L1	-1.773768697035197
t1_t0.5	measurement	NFKB1	-1.7663172406376644
t4_t3	measurement	ETS1	-1.7638316099128117
t4_t3	measurement	YY1	-1.759446119132624
t1_t0.5	measurement	E2F1	-1.758761677948604
t4_t3	measurement	NFKB1	-1.7528953348209912
t2_t1	measurement	NFKB1	1.7406528251900115
t2_t1	measurement	MBD1	1.740170574018914
t3_t2	measurement	PBX3	1.7394315799196127
t8_t4	measurement	GATA1	1.7387283235863074
t2_t1	measurement	NFYA	-1.7374604384250352
t4_t3	measurement	ETV4	-1.7369962163083266
t1_t0.5	measurement	ZEB2	1.7359315494540044
t4_t3	measurement	RELA	-1.7290033678263275
t0.5_t0	measurement	SREBF1	1.7262225696830198
t3_t2	measurement	XBP1	-1.7259863929317605
t1_t0.5	measurement	VDR	-1.725695542474753
t4_t3	measurement	MAX	-1.7245095603300653
t8_t4	measurement	MITF	-1.724018399039648
t1_t0.5	measurement	ARNT	-1.7200818959309057
t3_t2	measurement	NR1H3	-1.7145172137641
t0.5_t0	measurement	ELF3	1.7106842080793716
t2_t1	measurement	ETV6	1.7077712646750258
t2_t1	measurement	BCL6	-1.7032864957448475
t4_t3	measurement	PPARG	1.6983520074823586
t2_t1	measurement	SP3	1.6960772565983229
t8_t4	measurement	SOX2	-1.6958762030131227
t1_t0.5	measurement	LYL1	1.6883973338390377
t1_t0.5	measurement	KLF4	1.6867712677707538
t3_t2	measurement	RELB	1.6837385055546175
t0.5_t0	measurement	NCOA1	-1.683367796236329
t4_t3	measurement	MNT	1.682927865167983
t2_t1	measurement	MYCN	1.6823900768073983
